h_read4_end_point    00093A88
h_logical_cache_load_start_point 00093AB8
h_logical_cache_load_end_point 00093AC0
h_logical_cache_store_start_point 00093AD0
h_logical_cache_store_end_point 00093AD8
h_logical_ci_load_start_point 00093AE4
h_logical_ci_load_end_point 00093AEC
h_logical_ci_store_start_point 00093AFC
h_logical_ci_store_end_point 00093B04
h_get_tce_start_point 00093B10
h_get_tce_end_point  00093B18
h_real_to_logical_start_point 00093B30
h_real_to_logical_end_point 00093B38
h_logical_icbi_start_point 00093B48
h_logical_icbi_end_point 00093B50
h_logical_dcbf_start_point 00093B58
h_logical_dcbf_end_point 00093B60
h_set_sprg0_start_point 00093B68
h_set_sprg0_end_point 00093B70
h_set_dabr_start_point 00093B78
h_set_dabr_end_point 00093B80
hcall_read_dabr      00093B98
h_get_term_char_start_point 00093C5C
h_get_term_char_end_point 00093C64
h_put_term_char_start_point 00093C90
h_put_term_char_end_point 00093C98
h_ipoll_start_point  00093CA8
h_ipoll_end_point    00093CB0
h_xirr_start_point   00093CD0
h_xirr_end_point     00093CD8
h_eoi_start_point    00093CE8
h_eoi_end_point      00093CF0
h_ipi_start_point    00093CF8
h_ipi_end_point      00093D00
h_cppr_start_point   00093D08
h_cppr_end_point     00093D10
h_cede_start_point   00093D24
h_cede_end_point     00093D2C
h_register_vpa_start_point 00093D38
h_register_vpa_end_point 00093D40
h_confer_start_point 00093D4C
h_confer_end_point   00093D54
h_prod_start_point   00093D60
h_prod_end_point     00093D68
h_get_ppp_start_point 00093D78
h_get_ppp_end_point  00093D80
h_set_ppp_start_point 00093DA4
h_set_ppp_end_point  00093DAC
h_purr_start_point   00093DBC
h_purr_end_point     00093DC4
h_pic_start_point    00093DE0
h_pic_end_point      00093DE8
h_home_node_assoc_start_point 00093E24
h_home_node_assoc_end_point 00093E2C
h_vterm_partner_info_start_point 00093E60
h_vterm_partner_info_end_point 00093E68
h_register_vterm_start_point 00093E88
h_register_vterm_end_point 00093E90
h_free_vterm_start_point 00093EB0
h_free_vterm_end_point 00093EB8
h_get_mpp_start_point 00093ED8
h_get_mpp_end_point  00093EE0
h_set_mpp_start_point 00093F0C
h_set_mpp_end_point  00093F14
h_get_em_parms_start_point 00093F24
h_get_em_parms_end_point 00093F2C
h_vpm_pstat_start_point 00093F58
h_vpm_pstat_end_point 00093F60
h_hfi_start_interface_start_point 00093F88
h_hfi_start_interface_end_point 00093F90
h_hfi_stop_interface_start_point 00093F9C
h_hfi_stop_interface_end_point 00093FA4
h_hfi_query_interface_start_point 00093FB4
h_hfi_query_interface_end_point 00093FBC
h_hfi_query_window_start_point 00093FD4
h_hfi_query_window_end_point 00093FDC
h_hfi_open_window_start_point 00093FFC
h_hfi_open_window_end_point 00094004
h_hfi_close_window_start_point 00094030
h_hfi_close_window_end_point 00094038
h_hfi_dump_info_start_point 00094044
h_hfi_dump_info_end_point 0009404C
h_hfi_adapter_attach_start_point 0009405C
h_hfi_adapter_attach_end_point 00094064
h_hfi_modify_rcxt_start_point 00094078
h_hfi_modify_rcxt_end_point 00094080
h_hfi_route_info_start_point 0009408C
h_hfi_route_info_end_point 00094094
h_cau_write_index_start_point 000940A0
h_cau_write_index_end_point 000940A8
h_cau_read_index_start_point 000940B4
h_cau_read_index_end_point 000940BC
h_nmmu_start_start_point 000940C8
h_nmmu_start_end_point 000940D0
h_nmmu_stop_start_point 000940DC
h_nmmu_stop_end_point 000940E4
h_nmmu_allocate_resource_start_point 000940F0
h_nmmu_allocate_resource_end_point 000940F8
h_nmmu_free_resource_start_point 0009411C
h_nmmu_free_resource_end_point 00094124
h_nmmu_modify_resource_start_point 00094130
h_nmmu_modify_resource_end_point 00094138
h_confer_adjunct_start_point 00094144
h_confer_adjunct_end_point 0009414C
h_adjunct_mode_start_point 00094158
h_adjunct_mode_end_point 00094160
hypervisor_call_asm_start_point 000941F0
hypervisor_call_asm_end_point 000941F8
h_read4_start_fixup  00094330
h_read4_end_fixup    00094394
h_read1_start_fixup  000943D0
h_read1_end_fixup    00094434
h_enter_start_fixup  00094470
h_enter_end_fixup    000944D4
h_remove_start_fixup 00094510
h_remove_end_fixup   00094574
h_bulk_remove_start_fixup 000945B0
h_bulk_remove_end_fixup 00094614
h_clear_mod_start_fixup 00094650
h_clear_mod_end_fixup 000946B4
h_page_init_start_fixup 000946F0
h_page_init_end_fixup 00094754
h_protect_start_fixup 00094790
h_protect_end_fixup  000947F4
h_clear_ref_start_fixup 00094830
h_clear_ref_end_fixup 00094894
h_logical_cache_load_start_fixup 000948D0
h_logical_cache_load_end_fixup 00094934
h_logical_cache_store_start_fixup 00094970
h_logical_cache_store_end_fixup 000949D4
h_logical_ci_load_start_fixup 00094A10
h_logical_ci_load_end_fixup 00094A74
h_logical_ci_store_start_fixup 00094AB0
