Empty upload form prepared from upload_file
INFO     2013-01-11 00:04:26,269 conffiles Starting handling of a file d32cb43aca57a20d12e246e262d52b01_snap_valday2_060712.pax.Z in handle_uploaded_file
INFO     2013-01-11 00:04:27,596 conffiles File type d32cb43aca57a20d12e246e262d52b01_snap_valday2_060712.pax.Z is detected as AIX
INFO     2013-01-11 00:04:27,607 views    Sucsessfully handeled file  snap_valday2_060712.pax.Z in upload_file
INFO     2013-01-11 00:04:28,149 views    Snap object analyzed for /Users/vs/dev/confcenter/confcenter/confuploads/d32cb43aca57a20d12e246e262d52b01_snap_valday2_060712.pax.Z_AIX/ and output generated in anal_acc
INFO     2013-01-11 00:08:42,117 views    Empty upload form prepared from upload_file for user from 127.0.0.1, session id d32cb43aca57a20d12e246e262d52b01
INFO     2013-01-11 00:08:51,871 views    Starting file  valday2_test_gc_snap.pax.Z proccessing in upload_file for user from 127.0.0.1
INFO     2013-01-11 00:08:51,873 conffiles Starting handling of a file d32cb43aca57a20d12e246e262d52b01_valday2_test_gc_snap.pax.Z in handle_uploaded_file
INFO     2013-01-11 00:08:52,140 conffiles File type d32cb43aca57a20d12e246e262d52b01_valday2_test_gc_snap.pax.Z is detected as AIX
INFO     2013-01-11 00:08:52,144 views    Sucsessfully handeled file  valday2_test_gc_snap.pax.Z in upload_file
INFO     2013-01-11 00:08:53,097 views    Snap object analyzed for /Users/vs/dev/confcenter/confcenter/confuploads/d32cb43aca57a20d12e246e262d52b01_valday2_test_gc_snap.pax.Z_AIX/ and output generated in anal_acc
INFO     2013-01-11 00:08:58,038 views    Empty upload form prepared from upload_file for user from 127.0.0.1, session id d32cb43aca57a20d12e246e262d52b01
INFO     2013-01-11 00:09:04,520 views    Starting file  Upload configuration output.webarchive proccessing in upload_file for user from 127.0.0.1
INFO     2013-01-11 00:09:04,521 conffiles Starting handling of a file d32cb43aca57a20d12e246e262d52b01_Upload configuration output.webarchive in handle_uploaded_file
INFO     2013-01-11 00:09:04,522 conffiles File type d32cb43aca57a20d12e246e262d52b01_Upload configuration output.webarchive is not valid
INFO     2013-01-11 00:09:04,523 views    File type Upload configuration output.webarchive is not good, reported from upload_file
INFO     2013-01-11 00:09:15,600 views    Empty upload form prepared from upload_file for user from 127.0.0.1, session id d32cb43aca57a20d12e246e262d52b01
